player,Goals,Total_xG,Avg_xG_per_Shot,Shot_Count,G_minus_xG,Aerial_Duels_Won,Aerial_Duels_Total,Aerial_Pass_Wins,Total_Aerial_Wins,Finishing_Percentile,Aerial_Percentile,Smart_Scout_Score,Total_Minutes,Goals_p90,Total_xG_p90,Total_Aerial_Wins_p90,scaled_Goals_p90,scaled_Total_xG_p90,scaled_Total_Aerial_Wins_p90,scaled_G_minus_xG,is_aerial_specialist,is_clinical_finisher,is_high_volume_threat
Robert Lewandowski,2,3.125917802,0.2604931501666667,12,-1.125917802,2,0,13,15,0.04,0.9666666666666668,0.5033333333333333,384,0.46875,0.7326369848437501,3.515625,0.4010416666666666,0.7709276581756539,0.7533482142857142,0.1323182631657321,0,0,1
Takuma Asano,2,1.279548737,0.1421720818888888,9,0.720451263,0,0,1,1,0.7466666666666667,0.24,0.4933333333333333,408,0.4411764705882353,0.2822533978676471,0.22058823529411764,0.3774509803921568,0.2930141968719427,0.04726890756302521,0.44588426213184773,0,0,0
Andreas Evald Cornelius,0,0.8015078649999999,0.1603015729999999,5,-0.8015078649999999,0,0,9,9,0.0933333333333333,0.8533333333333334,0.4733333333333334,238,0.0,0.3030912094537815,3.403361344537815,0.0,0.3151257279070478,0.7292917166866746,0.18741230037542703,0,0,0
Cheikh Ahmadou Bamba Mbacke Dieng,1,0.3838931,0.095973275,4,0.6161069,0,0,1,1,0.7066666666666667,0.24,0.4733333333333333,381,0.23622047244094488,0.09068340944881889,0.23622047244094488,0.20209973753280835,0.08973441738030727,0.050618672665916756,0.42816362055438606,0,0,0
Breel-Donald Embolo,2,2.391196598,0.3985327663333333,6,-0.391196598,1,0,4,5,0.1733333333333333,0.7266666666666667,0.45,328,0.5487804878048781,0.6561210177439024,1.371951219512195,0.4695121951219512,0.6897346224187151,0.29398954703832747,0.25709482742963086,0,0,0
Zakaria Aboukhlal,1,0.5970794660000001,0.1990264886666667,3,0.4029205339999999,0,0,1,1,0.6533333333333333,0.24,0.4466666666666666,378,0.23809523809523808,0.14216177761904764,0.23809523809523808,0.20370370370370366,0.14435942110142685,0.0510204081632653,0.39195851016344374,0,0,0
Giovanni Reyna,0,0.08602206,0.04301103,2,-0.08602206,0,0,2,2,0.44,0.4466666666666666,0.4433333333333333,188,0.0,0.041180773404255314,0.9574468085106382,0.0,0.03720591319001025,0.20516717325227962,0.30892214661567496,0,0,0
Marco Asensio Willemsen,1,0.608190739,0.0608190739,10,0.391809261,0,0,1,1,0.64,0.24,0.44,290,0.3103448275862069,0.18874885003448277,0.3103448275862069,0.2655172413793103,0.19379414668623948,0.0665024630541872,0.3900714998771063,0,0,0
Iñaki Williams Arthuer,0,0.126027007,0.0630135035,2,-0.126027007,0,0,2,2,0.3733333333333333,0.4466666666666666,0.41,270,0.0,0.04200900233333333,0.6666666666666667,0.0,0.038084767938925734,0.14285714285714288,0.30212816841953277,0,0,0
Luis Alberto Suárez Díaz,0,0.361762436,0.180881218,2,-0.361762436,0,0,3,3,0.2,0.6,0.4,228,0.0,0.14280096157894737,1.1842105263157894,0.0,0.14503767543288787,0.2537593984962406,0.26209358557945966,0,0,0
